event,m1,m2,q,nearest_ratio,dist_to_nearest,dist_to_phi_inv,hit_delta_0.05,hit_delta_0.04,fibonacci_ratio_label
GW190727_060333,42.0,26.0,0.6190476190476191,0.6190476190476191,0.0,0.0010136302977242,True,True,0.619048
GW190728_064510,12.0,8.0,0.6666666666666666,0.6666666666666666,0.0,0.0486326779167718,True,True,0.666667
GW190413_134308,40.1,24.2,0.6034912718204488,0.6,0.0034912718204488,0.0145427169294459,True,True,0.600000
GW190519_153544,66.0,40.0,0.6060606060606061,0.6,0.0060606060606061,0.0119733826892887,True,True,0.600000
GW170809,35.2,23.8,0.6761363636363636,0.6666666666666666,0.009469696969697,0.0581023748864688,True,True,0.666667
GW190620_030421,32.0,21.0,0.65625,0.6666666666666666,0.0104166666666666,0.0382160112501052,True,True,0.666667
GW170729,50.6,34.3,0.6778656126482213,0.6666666666666666,0.0111989459815546,0.0598316238983265,True,True,0.666667
GW190708_232457,23.0,15.0,0.6521739130434783,0.6666666666666666,0.0144927536231883,0.0341399242935834,True,True,0.666667
GW151012,23.3,13.6,0.5836909871244634,0.6,0.0163090128755365,0.0343430016254313,True,True,0.600000
GW170104,31.0,20.1,0.6483870967741936,0.6666666666666666,0.018279569892473,0.0303531080242988,True,True,0.666667
GW190707_093326,11.2,6.5,0.5803571428571429,0.6,0.019642857142857,0.0376768458927518,True,True,0.600000
GW190413_052954,34.9,24.0,0.6876790830945559,0.6666666666666666,0.0210124164278893,0.0696450943446611,True,True,0.666667
GW190720_000836,14.0,6.7,0.4785714285714286,0.5,0.0214285714285714,0.1394625601784662,True,True,0.500000
GW170608,11.0,7.6,0.6909090909090909,0.6666666666666666,0.0242424242424242,0.0728751021591961,True,True,0.666667
GW190803_022701,39.0,27.0,0.6923076923076923,0.6666666666666666,0.0256410256410256,0.0742737035577975,True,True,0.666667
GW190512_180714,23.2,12.2,0.5258620689655172,0.5,0.0258620689655172,0.0921719197843775,True,True,0.500000
GW190521,95.0,66.0,0.6947368421052632,0.6666666666666666,0.0280701754385965,0.0767028533553684,True,True,0.666667
GW190706_222641,67.0,38.0,0.5671641791044776,0.6,0.0328358208955223,0.0508698096454172,True,True,0.600000
GW190527_092055,35.0,24.5,0.7,0.6666666666666666,0.0333333333333333,0.0819660112501051,True,True,0.666667
GW190408_181802,24.8,17.4,0.7016129032258064,0.6666666666666666,0.0349462365591397,0.0835789144759115,True,True,0.666667
GW151226,13.7,7.7,0.562043795620438,0.6,0.0379562043795619,0.0559901931294567,True,True,0.600000
GW190719_215514,42.0,30.0,0.7142857142857143,0.6666666666666666,0.0476190476190476,0.0962517255358195,True,False,0.666667
GW170823,39.6,29.4,0.7424242424242423,0.6666666666666666,0.0757575757575756,0.1243902536743475,False,False,0.666667
GW190630_185205,36.0,27.0,0.75,0.6666666666666666,0.0833333333333333,0.1319660112501052,False,False,0.666667
GW190513_205428,37.5,28.3,0.7546666666666667,0.6666666666666666,0.088,0.1366326779167719,False,False,0.666667
GW170818,35.5,26.8,0.7549295774647887,0.6666666666666666,0.0882629107981221,0.1368955887148939,False,False,0.666667
GW190424_180648,35.9,14.2,0.3955431754874652,0.5,0.1044568245125348,0.2224908132624296,False,False,0.500000
GW190828_063405,32.0,25.0,0.78125,0.6666666666666666,0.1145833333333333,0.1632160112501052,False,False,0.666667
GW190828_065509,37.0,29.0,0.7837837837837838,0.6666666666666666,0.1171171171171171,0.1657497950338889,False,False,0.666667
GW190521_074359,40.3,31.7,0.7866004962779156,0.6666666666666666,0.1199338296112489,0.1685665075280208,False,False,0.666667
GW190421_213856,40.0,31.5,0.7875,0.6666666666666666,0.1208333333333333,0.1694660112501052,False,False,0.666667
GW190602_175927,64.0,51.0,0.796875,0.6666666666666666,0.1302083333333333,0.1788410112501052,False,False,0.666667
GW190514_065416,36.4,29.1,0.7994505494505495,0.6666666666666666,0.1327838827838828,0.1814165607006547,False,False,0.666667
GW190503_185245,40.7,32.8,0.8058968058968058,0.6666666666666666,0.1392301392301391,0.187862817146911,False,False,0.666667
GW190517_055101,37.7,30.5,0.8090185676392573,0.6666666666666666,0.1423519009725906,0.1909845788893625,False,False,0.666667
GW170814,30.7,25.3,0.8241042345276873,0.6666666666666666,0.1574375678610207,0.2060702457777925,False,False,0.666667
GW190731_140936,42.0,35.0,0.8333333333333334,0.6666666666666666,0.1666666666666667,0.2152993445834385,False,False,0.666667
GW150914,35.6,30.6,0.8595505617977528,0.6666666666666666,0.1928838951310861,0.241516573047858,False,False,0.666667
GW190412,30.1,8.4,0.2790697674418604,0.5,0.2209302325581396,0.3389642213080344,False,False,0.500000
GW190701_203306,55.0,49.0,0.8909090909090909,0.6666666666666666,0.2242424242424242,0.2728751021591961,False,False,0.666667
GW190814,23.2,2.6,0.1120689655172413,0.5,0.3879310344827587,0.5059650232326535,False,False,0.500000
