event,m1,m2,q,nearest_ratio,dist_to_nearest,dist_to_phi_inv
GW150914,35.6,30.6,0.8595505617977528,0.6666666666666666,0.19288389513108617,0.241516573047858
GW151012,23.3,13.6,0.5836909871244634,0.6,0.016309012875536544,0.03434300162543136
GW151226,13.7,7.7,0.562043795620438,0.6,0.03795620437956193,0.055990193129456745
GW170104,31.0,20.1,0.6483870967741936,0.6666666666666666,0.018279569892473035,0.030353108024298803
GW170608,11.0,7.6,0.6909090909090909,0.6666666666666666,0.024242424242424288,0.07287510215919613
GW170729,50.6,34.3,0.6778656126482213,0.6666666666666666,0.011198945981554687,0.059831623898326525
GW170809,35.2,23.8,0.6761363636363636,0.6666666666666666,0.009469696969697017,0.058102374886468855
GW170814,30.7,25.3,0.8241042345276873,0.6666666666666666,0.1574375678610207,0.20607024577779254
GW170818,35.5,26.8,0.7549295774647887,0.6666666666666666,0.0882629107981221,0.13689558871489393
GW170823,39.6,29.4,0.7424242424242423,0.6666666666666666,0.07575757575757569,0.12439025367434753
GW190408_181802,24.8,17.4,0.7016129032258064,0.6666666666666666,0.034946236559139754,0.08357891447591159
GW190412,30.1,8.4,0.2790697674418604,0.5,0.2209302325581396,0.3389642213080344
GW190413_052954,34.9,24.0,0.6876790830945559,0.6666666666666666,0.021012416427889313,0.06964509434466115
GW190413_134308,40.1,24.2,0.6034912718204488,0.6,0.003491271820448838,0.014542716929445976
GW190421_213856,40.0,31.5,0.7875,0.6666666666666666,0.12083333333333335,0.1694660112501052
GW190424_180648,35.9,14.2,0.3955431754874652,0.5,0.1044568245125348,0.2224908132624296
GW190503_185245,40.7,32.8,0.8058968058968058,0.6666666666666666,0.13923013923013916,0.187862817146911
GW190512_180714,23.2,12.2,0.5258620689655172,0.5,0.025862068965517238,0.09217191978437755
GW190513_205428,37.5,28.3,0.7546666666666667,0.6666666666666666,0.08800000000000008,0.13663267791677192
GW190514_065416,36.4,29.1,0.7994505494505495,0.6666666666666666,0.13278388278388287,0.1814165607006547
GW190517_055101,37.7,30.5,0.8090185676392573,0.6666666666666666,0.14235190097259065,0.1909845788893625
GW190519_153544,66.0,40.0,0.6060606060606061,0.6,0.0060606060606061,0.011973382689288714
GW190521,95.0,66.0,0.6947368421052632,0.6666666666666666,0.02807017543859658,0.07670285335536842
GW190521_074359,40.3,31.7,0.7866004962779156,0.6666666666666666,0.11993382961124899,0.16856650752802083
GW190527_092055,35.0,24.5,0.7,0.6666666666666666,0.033333333333333326,0.08196601125010516
GW190602_175927,64.0,51.0,0.796875,0.6666666666666666,0.13020833333333337,0.1788410112501052
GW190620_030421,32.0,21.0,0.65625,0.6666666666666666,0.01041666666666663,0.03821601125010521
GW190630_185205,36.0,27.0,0.75,0.6666666666666666,0.08333333333333337,0.1319660112501052
GW190701_203306,55.0,49.0,0.8909090909090909,0.6666666666666666,0.22424242424242424,0.2728751021591961
GW190706_222641,67.0,38.0,0.5671641791044776,0.6,0.032835820895522394,0.05086980964541721
GW190707_093326,11.2,6.5,0.5803571428571429,0.6,0.019642857142857073,0.03767684589275189
GW190708_232457,23.0,15.0,0.6521739130434783,0.6666666666666666,0.01449275362318836,0.03413992429358348
GW190719_215514,42.0,30.0,0.7142857142857143,0.6666666666666666,0.04761904761904767,0.09625172553581951
GW190720_000836,14.0,6.7,0.4785714285714286,0.5,0.021428571428571408,0.1394625601784662
GW190727_060333,42.0,26.0,0.6190476190476191,0.6190476190476191,0.0,0.0010136302977242773
GW190728_064510,12.0,8.0,0.6666666666666666,0.6666666666666666,0.0,0.04863267791677184
GW190731_140936,42.0,35.0,0.8333333333333334,0.6666666666666666,0.16666666666666674,0.21529934458343858
GW190803_022701,39.0,27.0,0.6923076923076923,0.6666666666666666,0.02564102564102566,0.0742737035577975
GW190814,23.2,2.6,0.1120689655172413,0.5,0.3879310344827587,0.5059650232326535
GW190828_063405,32.0,25.0,0.78125,0.6666666666666666,0.11458333333333337,0.1632160112501052
GW190828_065509,37.0,29.0,0.7837837837837838,0.6666666666666666,0.11711711711711714,0.16574979503388898
