knot_id,dt_code,phase_vector
K_T2_7,"[4, 6, 8, 10, 12, 14, 2]","[0, -2, -3, 1, -2, 3, -1, 2, 0, 0, 0, 0, 0]"
K_T2_9,"[4, 6, 8, 10, 12, 14, 16, 18, 2]","[0, -2, -3, 1, -2, 3, -1, 2, -3, 1, 0, 0, 0]"
K_T2_11,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 2]","[0, -2, -3, 1, -2, 3, -1, 2, -3, 1, -2, 3, 0]"
K_T2_13,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 2]","[2, -2, -3, 1, -2, 3, -1, 2, -3, 1, -2, 3, -1]"
K_T2_15,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 2]","[2, -5, -2, 1, -2, 3, -1, 2, -3, 1, -2, 3, -1]"
K_T2_17,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 2]","[2, -5, -2, -1, 1, 3, -1, 2, -3, 1, -2, 3, -1]"
K_T2_19,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 2]","[2, -5, -2, -1, 1, 2, 1, 2, -3, 1, -2, 3, -1]"
K_T2_21,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 2]","[2, -5, -2, -1, 1, 2, 1, -1, -2, 1, -2, 3, -1]"
K_T2_23,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 2]","[2, -5, -2, -1, 1, 2, 1, -1, -2, -1, 1, 3, -1]"
K_T2_25,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 2]","[2, -5, -2, -1, 1, 2, 1, -1, -2, -1, 1, 2, 1]"
K_T2_27,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 2]","[-1, -4, -2, -1, 1, 2, 1, -1, -2, -1, 1, 2, 1]"
K_T2_29,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 2]","[-1, -4, -4, 2, 1, 2, 1, -1, -2, -1, 1, 2, 1]"
K_T2_7_mirror,"[2, 14, 12, 10, 8, 6, 4]","[0, -2, -3, 1, -2, 3, -1, 2, 0, 0, 0, 0, 0]"
K_T2_9_mirror,"[2, 18, 16, 14, 12, 10, 8, 6, 4]","[0, -2, -3, 1, -2, 3, -1, 2, -3, 1, 0, 0, 0]"
K_T2_11_mirror,"[2, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4]","[0, -2, -3, 1, -2, 3, -1, 2, -3, 1, -2, 3, 0]"
K_T2_13_mirror,"[2, 26, 24, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4]","[2, -2, -3, 1, -2, 3, -1, 2, -3, 1, -2, 3, -1]"
K_T2_15_mirror,"[2, 30, 28, 26, 24, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4]","[2, -5, -2, 1, -2, 3, -1, 2, -3, 1, -2, 3, -1]"
K_T2_17_mirror,"[2, 34, 32, 30, 28, 26, 24, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4]","[2, -5, -2, -1, 1, 3, -1, 2, -3, 1, -2, 3, -1]"
K_T2_19_mirror,"[2, 38, 36, 34, 32, 30, 28, 26, 24, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4]","[2, -5, -2, -1, 1, 2, 1, 2, -3, 1, -2, 3, -1]"
K_T2_21_mirror,"[2, 42, 40, 38, 36, 34, 32, 30, 28, 26, 24, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4]","[2, -5, -2, -1, 1, 2, 1, -1, -2, 1, -2, 3, -1]"
K_T2_23_mirror,"[2, 46, 44, 42, 40, 38, 36, 34, 32, 30, 28, 26, 24, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4]","[2, -5, -2, -1, 1, 2, 1, -1, -2, -1, 1, 3, -1]"
K_T2_25_mirror,"[2, 50, 48, 46, 44, 42, 40, 38, 36, 34, 32, 30, 28, 26, 24, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4]","[2, -5, -2, -1, 1, 2, 1, -1, -2, -1, 1, 2, 1]"
K_T2_27_mirror,"[2, 54, 52, 50, 48, 46, 44, 42, 40, 38, 36, 34, 32, 30, 28, 26, 24, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4]","[-1, -4, -2, -1, 1, 2, 1, -1, -2, -1, 1, 2, 1]"
K_T2_29_mirror,"[2, 58, 56, 54, 52, 50, 48, 46, 44, 42, 40, 38, 36, 34, 32, 30, 28, 26, 24, 22, 20, 18, 16, 14, 12, 10, 8, 6, 4]","[-1, -4, -4, 2, 1, 2, 1, -1, -2, -1, 1, 2, 1]"
