composite_id,left_id,right_id,u1,u2,u12,delta,cosine,oppose_overlap
C_3_1_mirror__5_2_mirror,K_3_1_mirror,K_5_2_mirror,165,96,178,-83,-0.774153807012772,83
C_5_2_mirror__3_1_mirror,K_5_2_mirror,K_3_1_mirror,96,165,178,-83,-0.774153807012772,83
C_3_1_mirror__4_1_mirror,K_3_1_mirror,K_4_1_mirror,165,87,175,-77,-0.6694278243167933,77
C_4_1_mirror__3_1_mirror,K_4_1_mirror,K_3_1_mirror,87,165,175,-77,-0.6694278243167933,77
C_3_1_mirror__6_2,K_3_1_mirror,K_6_2,165,123,212,-76,-0.2809292014073527,76
C_6_2__3_1_mirror,K_6_2,K_3_1_mirror,123,165,212,-76,-0.2809292014073527,76
C_6_2__5_1,K_6_2,K_5_1,123,113,183,-53,-0.4079215842879208,53
C_5_1__6_2,K_5_1,K_6_2,113,123,183,-53,-0.4079215842879208,53
C_5_2__6_2,K_5_2,K_6_2,100,123,175,-48,-0.3931088968053574,48
C_6_2__5_2,K_6_2,K_5_2,123,100,175,-48,-0.3931088968053574,48
