k,Tk
0.5,0.0
1.5,1.2058718125639694e-07
2.5,-1.5515418686969248e-07
3.5,4.242089698480289e-08
4.5,-7.122580531149346e-09
5.5,-7.031957250608403e-10
6.5,-2.0493781321394597e-11
7.5,-8.040359934018473e-12
8.5,4.147936745832872e-13
9.5,4.2289102572916325e-15
10.5,2.6701115078786072e-18
11.5,6.81791343807172e-19
12.5,2.1517921266696152e-20
13.5,-1.5398717923008968e-23
14.5,-1.1623323640274092e-24
15.5,-6.490370521863133e-27
16.5,-1.4546907300080142e-28
17.5,-2.5539772309569536e-30
18.5,-9.585864846050217e-33
19.5,-2.3736487237645446e-34
20.5,-1.3048730339823582e-36
21.5,-1.0155867438105844e-37
22.5,-7.655930866137565e-39
23.5,1.5476057569221852e-40
24.5,-2.397128675238985e-40
25.5,4.741108212694162e-39
26.5,3.583123122392007e-39
27.5,-5.7218335935758025e-39
28.5,1.5392860310330287e-40
29.5,-1.765255898706195e-39
30.5,1.010447925356408e-39
31.5,-6.593955963671215e-40
32.5,-1.2419774146490482e-39
33.5,1.768150158045015e-39
34.5,1.4801902320935126e-41
35.5,6.376186975819465e-40
36.5,-2.5600256046684154e-40
37.5,-3.1093967950490988e-40
38.5,4.321963767498589e-40
39.5,-1.6263420353267903e-40
40.5,-5.90206278481829e-41
41.5,-1.5549242457917416e-40
42.5,-1.1504535492680715e-40
43.5,1.4976399280279573e-40
44.5,1.8071477155973952e-40
45.5,-6.2760958453619895e-40
46.5,4.626290084480097e-40
47.5,8.212908618109116e-43
48.5,-6.164590030731438e-41
49.5,-2.1525829538354134e-41
50.5,-5.18461143769442e-41
51.5,9.296904146563873e-41
52.5,2.533383595655399e-41
53.5,6.696824237839683e-41
54.5,-7.665766212098276e-41
55.5,-1.3790777978362787e-41
56.5,4.4513953356553363e-42
57.5,2.9787596498309284e-41
58.5,-1.0971271585255895e-41
59.5,2.580635301746071e-41
60.5,-1.523009045529777e-40
61.5,1.0967599080850227e-40
62.5,2.5955099696365858e-40
63.5,3.516676052917748e-41
64.5,3.3803975852293925e-40
65.5,-9.142767605499922e-41
66.5,1.851751662526566e-40
67.5,-4.802537487485799e-41
68.5,1.2222897214601323e-41
69.5,-1.0433886127379129e-41
70.5,-4.955630587651749e-41
71.5,6.613565125252784e-41
72.5,-1.6339805718511693e-41
73.5,1.9583103395457082e-41
74.5,-6.715512499288874e-41
75.5,1.2136494803506076e-41
76.5,1.1719764728859633e-41
77.5,-1.0511444276511114e-41
78.5,-4.0924817451032456e-41
79.5,2.23110387342102e-41
80.5,-4.921942220194242e-41
81.5,-1.083710809602645e-40
82.5,5.788414171504311e-41
83.5,-2.0294920432120787e-44
84.5,1.7725588377628085e-41
85.5,-2.2754630688560493e-41
86.5,8.846166866223701e-42
87.5,2.5952361758823464e-41
88.5,-1.4732332518691162e-41
89.5,1.7041484499762807e-41
90.5,-1.4829334473119784e-41
91.5,1.1967039214252083e-41
92.5,4.702537031124645e-42
93.5,-1.124801342117614e-41
94.5,2.56782086995158e-43
95.5,3.556433124727356e-41
96.5,-1.144594374857513e-41
97.5,-8.512403257721635e-42
98.5,-5.871462671544688e-41
99.5,3.2613056541333764e-41
100.5,-1.2329667295470717e-42
101.5,1.9950798004775108e-42
102.5,-7.89624112032792e-42
103.5,9.887314955269962e-42
104.5,-2.0079184232968024e-41
105.5,1.6316429660436376e-41
106.5,1.824392542538026e-41
107.5,5.740168297102343e-42
108.5,-6.251096880272478e-42
109.5,-2.0347252008051775e-41
110.5,-5.224048418248683e-42
111.5,6.05781786463855e-42
112.5,5.5461982574892315e-42
113.5,4.7587290926197084e-42
114.5,-2.5010182865716298e-42
115.5,7.225967909292979e-42
116.5,1.3649834719425555e-41
117.5,-1.6657873164942292e-42
118.5,-3.3229866471402444e-42
119.5,9.43019537304685e-42
120.5,-1.1787055504136992e-41
121.5,1.3938722219860656e-41
122.5,4.921293222209469e-42
123.5,-5.2848801557922194e-42
124.5,4.213158648178635e-42
125.5,5.79307079532924e-42
126.5,-2.513320034610758e-41
127.5,9.629044144966217e-42
128.5,-1.602786568148693e-42
129.5,5.862664889754649e-42
130.5,1.1568183915674947e-42
131.5,-2.535076663155269e-42
132.5,-1.1667365266760959e-42
133.5,-6.524753546874217e-43
134.5,1.7688938090652735e-42
135.5,1.2777920061083105e-42
136.5,7.875328895110533e-43
137.5,1.6280296682908266e-43
138.5,2.6877268810735634e-42
139.5,4.1187660373375944e-42
140.5,9.617988861530969e-43
141.5,1.5099005741179663e-42
142.5,-1.245794648017913e-42
143.5,-2.160133893741858e-42
144.5,1.437638687959401e-42
145.5,-5.705130242744674e-43
146.5,-4.093968741319438e-43
147.5,1.8423814599836596e-42
148.5,-1.7922350205929025e-42
149.5,-1.3798293026104374e-43
150.5,-5.077230621258582e-43
151.5,7.520182799987587e-43
152.5,1.5931432644979188e-42
153.5,-1.9482490101053555e-43
154.5,-3.9767394505936435e-43
155.5,1.112905985122266e-43
156.5,1.1958241299976278e-42
157.5,1.8340776639223626e-42
158.5,-2.1365318885764547e-42
159.5,-1.896986194735457e-42
160.5,-9.48560732623151e-43
161.5,-1.820335294597373e-42
162.5,-7.588579967148388e-44
163.5,5.0705154681595915e-43
164.5,9.812258572473592e-43
165.5,-6.8856152351007125e-43
166.5,1.604579438990599e-42
167.5,4.764109256697552e-43
168.5,-5.896113606373199e-43
169.5,-2.6057269649861594e-43
170.5,-3.4912126512851775e-43
171.5,-3.3606116896262963e-43
172.5,4.811251243850689e-43
173.5,-5.09599147360459e-44
174.5,3.2150751258431244e-43
175.5,-4.620759911267302e-44
176.5,3.88554963274973e-43
177.5,-8.442192418066757e-43
178.5,1.802537315750237e-45
179.5,3.0316742243562785e-43
180.5,1.1860018231382733e-43
181.5,0.0
182.5,0.0
