step,time,energy,enstrophy,div_rms
40,0.1,0.24608316571731603,19.429947963181,5.142480083579858e-06
80,0.2,0.24222769779782422,19.12553241800919,5.1020365630576535e-06
120,0.3,0.2384326347940237,18.825886253811426,5.061911114424805e-06
160,0.4,0.23469703032173617,18.53093474708808,5.022101236170552e-06
200,0.5,0.23101995282410304,18.24060434505779,4.982604446469993e-06
240,0.6,0.22740048533928114,17.954822647315403,4.94341828299636e-06
280,0.7000000000000001,0.2238377252717778,17.673518387777342,4.904540302815933e-06
320,0.8,0.2203307841673678,17.39662141690978,4.86596808218275e-06
360,0.9,0.21687878749153822,17.124062684235277,4.827699216420636e-06
400,1.0,0.21348087441140318,16.855774221113514,4.789731319770789e-06
440,1.1,0.21013619758103552,16.591689123791767,4.752062025233194e-06
480,1.2,0.20684392293016252,16.331741536720962,4.714688984420613e-06
520,1.3,0.2036032294561717,16.075866636133114,4.67760986741354e-06
560,1.4000000000000001,0.20041330901937537,15.82400061387607,4.640822362633478e-06
600,1.5,0.19727336614148244,15.576080661501505,4.604324176656753e-06
640,1.6,0.19418261780722884,15.332044954602228,4.568113034116795e-06
680,1.7,0.1911402932691142,15.09183263739488,4.532186677520607e-06
720,1.8,0.18814563385519928,14.855383807544175,4.496542867157127e-06
760,1.9000000000000001,0.18519789277991394,14.62263950122491,4.461179380908634e-06
800,2.0,0.1822963349578292,14.393541678418007,4.42609401413591e-06
