segment,midpoint,k,t_frac
prep1,9/2,1,5/592
prep1,9/2,2,5/296
prep1,9/2,3,15/592
prep1,9/2,4,5/148
prep1,9/2,5,25/592
prep1,9/2,6,15/296
prep1,9/2,7,35/592
prep1,9/2,8,5/74
prep1,9/2,9,45/592
prep1,9/2,10,25/296
prep1,9/2,11,55/592
prep1,9/2,12,15/148
prep1,9/2,13,65/592
prep1,9/2,14,35/296
prep1,9/2,15,75/592
prep1,9/2,16,5/37
prep1,9/2,17,85/592
prep1,9/2,18,45/296
prep1,9/2,19,95/592
prep1,9/2,20,25/148
prep1,9/2,21,105/592
prep1,9/2,22,55/296
prep1,9/2,23,115/592
prep1,9/2,24,15/74
prep1,9/2,25,125/592
prep1,9/2,26,65/296
prep1,9/2,27,135/592
prep1,9/2,28,35/148
prep1,9/2,29,145/592
prep1,9/2,30,75/296
prep1,9/2,31,155/592
prep1,9/2,32,10/37
prep1,9/2,33,165/592
prep1,9/2,34,85/296
prep1,9/2,35,175/592
prep1,9/2,36,45/148
prep2,13/2,1,301/592
prep2,13/2,2,153/296
prep2,13/2,3,311/592
prep2,13/2,4,79/148
prep2,13/2,5,321/592
prep2,13/2,6,163/296
prep2,13/2,7,331/592
prep2,13/2,8,21/37
prep2,13/2,9,341/592
prep2,13/2,10,173/296
prep2,13/2,11,351/592
prep2,13/2,12,89/148
prep2,13/2,13,361/592
prep2,13/2,14,183/296
prep2,13/2,15,371/592
prep2,13/2,16,47/74
prep2,13/2,17,381/592
prep2,13/2,18,193/296
prep2,13/2,19,391/592
prep2,13/2,20,99/148
prep2,13/2,21,401/592
prep2,13/2,22,203/296
prep2,13/2,23,411/592
prep2,13/2,24,26/37
prep2,13/2,25,421/592
prep2,13/2,26,213/296
prep2,13/2,27,431/592
prep2,13/2,28,109/148
prep2,13/2,29,441/592
prep2,13/2,30,223/296
prep2,13/2,31,451/592
prep2,13/2,32,57/74
prep2,13/2,33,461/592
prep2,13/2,34,233/296
prep2,13/2,35,471/592
prep2,13/2,36,119/148
