file,Sij,baseline_test_MSE,train_improvement_percent,gate_threshold_percent,gated
04AF101.s2p,S12,0.0030127074050001735,1.4690744710220436,2.0,False
04AF141.s2p,S12,0.008718725480202921,0.30434685019320445,2.0,False
04AF181.s2p,S12,0.009603490898097868,0.33178076619698393,2.0,False
04AF200.s2p,S12,0.00325866482185526,0.18657113127107408,2.0,False
04AF201.s2p,S12,0.0071051783085516315,0.07572425171589828,2.0,False
04AF220.s2p,S12,0.004075550168630653,0.1755049363726707,2.0,False
04AF221.s2p,S12,0.00890878357375378,0.3332031259531411,2.0,False
04AF251.s2p,S12,0.009022842040336116,0.3384544284089383,2.0,False
04AF271.s2p,S12,0.009024745291234664,0.3411148001901253,2.0,False
04AF301.s2p,S12,0.009643462427435117,0.3403721217123205,2.0,False
04AF330.s2p,S12,0.0049607246740797275,0.1806282342492896,2.0,False
04AF331.s2p,S12,0.007616214207537153,0.07243810236000801,2.0,False
04AF360.s2p,S12,0.004782224074520406,0.19415662802644007,2.0,False
04AF361.s2p,S12,0.009482697694317352,0.3263754999985786,2.0,False
04AF390.s2p,S12,0.005615989240016949,0.19714178746843425,2.0,False
04AF391.s2p,S12,0.0078339978745559,0.07303595714365547,2.0,False
04AF421.s2p,S12,0.009912602804711809,0.31189840932733376,2.0,False
04AF471.s2p,S12,0.010000360101633996,0.2979467753143311,2.0,False
04AF510.s2p,S12,0.006538083950472104,0.21020661680044744,2.0,False
04AF560.s2p,S12,0.0074317303824948675,0.21778904411030964,2.0,False
04AF561.s2p,S12,0.010189388866404409,0.2855292310395207,2.0,False
04AF720.s2p,S12,0.008927222122654899,0.23156676860439684,2.0,False
04AF780.s2p,S12,0.008490804256386736,0.2291972786939967,2.0,False
